"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"1",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.01,27
"2",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.025,27
"3",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.05,27
"4",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.1,27
"5",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.15,27
"6",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.2,27
"7",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.25,27
"8",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.3,27
"9",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.35,27
"10",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.4,27
"11",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.45,27
"12",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.5,27
"13",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.55,27
"14",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.6,27
"15",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.65,27
"16",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.7,27
"17",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.75,27
"18",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.8,27
"19",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.85,27
"20",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.9,27
"21",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.95,27
"22",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.975,27
"23",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"01","quantile",0.99,27
"24",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.01,87
"25",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.025,87
"26",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.05,87
"27",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.1,87
"28",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.15,87
"29",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.2,87
"30",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.25,87
"31",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.3,87
"32",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.35,87
"33",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.4,87
"34",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.45,87
"35",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.5,87
"36",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.55,87
"37",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.6,87
"38",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.65,87
"39",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.7,87
"40",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.75,87
"41",2024-11-02,-1,"wk inc covid hosp",2024-10-26,"02","quantile",0.8,87
